State,District,Year,Acerage,Yield,PRCP_Jun,PRCP_Jul,PRCP_Aug,PRCP_Sep,PRCP_Oct,PRCP_Nov,TMAX_Jun,TMAX_Jul,TMAX_Aug,TMAX_Sep,TMAX_Oct,TMAX_Nov,TMIN_Jun,TMIN_Jul,TMIN_Aug,TMIN_Sep,TMIN_Oct,TMIN_Nov,WIND_Jun,WIND_Jul,WIND_Aug,WIND_Sep,WIND_Oct,WIND_Nov,RH_Jun,RH_Jul,RH_Aug,RH_Sep,RH_Oct,RH_Nov,SRAD_Jun,SRAD_Jul,SRAD_Aug,SRAD_Sep,SRAD_Oct,SRAD_Nov,LAImax_Aug,LAImax_Jul,LAImax_Jun,LAImax_Nov,LAImax_Oct,LAImax_Sep,GPPsum_Aug,GPPsum_Jul,GPPsum_Jun,GPPsum_Nov,GPPsum_Oct,GPPsum_Sep
Madhya Pradesh,Agar Malwa,2021,1.790000,1075.000000,106.217872,377.041842,386.947257,304.669358,73.772804,1.032108,37.129007,31.811405,30.478772,31.591587,32.541498,29.568925,25.172923,25.316007,23.401432,23.806752,20.294559,14.188605,2.232612,2.149336,2.154065,1.620792,1.082171,1.056749,51.963688,66.418507,73.829571,73.913210,53.538983,42.464363,617.106558,469.306737,419.841871,454.578003,573.645306,450.478001,2.556875,0.856925,0.462235,0.645802,1.145650,2.836290,177.197493,89.383799,29.409823,57.691922,71.315456,128.479150
Madhya Pradesh,Agar Malwa,2022,1.511000,1112.000000,85.946412,486.637713,692.126940,133.777226,115.087110,0.000000,38.908365,30.917702,30.220215,31.950971,32.142070,30.287920,26.875579,23.721046,23.268004,23.241716,19.074966,13.558784,1.701608,2.093482,1.512780,1.168149,0.981629,0.768571,42.535502,74.423949,75.099149,68.442578,51.706714,42.136324,741.778424,766.446701,766.406843,738.497809,765.694120,741.993915,3.586793,1.351774,0.358659,0.783128,0.763968,3.573711,136.962647,136.962647,136.962647,136.962647,102.721985,136.962647
Madhya Pradesh,Agar Malwa,2023,1.432000,1035.000000,94.006836,374.013801,57.031223,262.773794,1.759980,10.350336,36.790319,32.360571,31.154137,32.295375,34.119698,29.638963,25.470969,24.507696,23.531890,23.416998,19.481154,15.441818,3.127916,2.861471,2.982232,2.519149,1.760448,1.443712,49.273381,71.359061,68.907322,66.542606,45.472024,50.879659,447.558927,455.324523,467.512929,477.897324,592.008633,443.323473,3.538349,1.795350,0.346767,1.106294,0.667119,2.130014,206.897494,114.298189,21.461947,72.943570,48.075176,125.018490
Madhya Pradesh,Agar Malwa,2024,1.504000,983.000000,95.640299,385.111066,285.874792,212.042443,16.690531,0.000000,38.529585,31.914991,30.226064,31.525308,33.775165,30.487664,26.865831,24.772641,23.672516,23.423982,21.380786,14.842154,3.278937,3.162373,2.699442,2.623886,1.637566,1.238297,47.957758,71.325840,76.084192,69.806708,52.552402,43.912010,595.057213,402.695611,397.690892,440.356234,544.343569,488.297388,4.147839,1.658596,0.342978,0.603103,0.866972,2.264215,170.547366,113.375193,16.477473,53.042162,70.769943,137.105081
Madhya Pradesh,Agar Malwa,2025,1.737000,965.000000,136.867143,434.377301,214.779327,221.860314,57.122356,1.824272,35.376537,30.166268,31.140886,31.539749,30.754574,28.407105,25.095305,23.542902,23.522680,22.677222,19.527606,12.876534,3.207935,3.451732,2.638901,1.175796,1.037079,0.566544,53.643648,72.083610,69.799210,63.222978,61.131502,49.324185,533.121544,388.822162,444.042095,474.648934,498.758190,488.903600,4.173375,1.877303,0.449647,0.871655,0.748589,1.814653,180.513900,125.087092,24.696564,79.980747,13.177559,142.699817
Madhya Pradesh,Alirajpur,2021,0.320000,894.000000,95.717109,205.665299,127.237309,299.229707,50.341559,15.580106,35.808110,30.977941,30.473473,31.050634,32.881348,30.896364,24.890739,24.487639,23.244576,23.346492,20.968892,16.808209,2.689055,2.836118,2.321409,1.918270,1.221242,1.441640,57.997554,68.651013,71.754241,75.460630,56.986164,45.348781,591.943385,474.718722,435.632119,419.469317,571.077938,461.486857,2.549456,0.813196,0.675617,1.088203,2.471851,4.176246,180.985606,100.471892,51.430301,92.368742,113.153205,161.902547
Madhya Pradesh,Alirajpur,2022,0.351000,1125.000000,58.587491,320.829636,226.275440,134.509356,67.676352,0.000000,37.241226,29.952265,30.429946,32.088101,32.766632,31.318395,25.674817,23.350045,23.334356,23.607000,20.262556,15.446640,2.058615,2.370212,1.412641,1.105429,0.851381,0.595682,47.072256,74.213276,73.083249,66.629738,50.423910,40.510667,740.680777,763.941239,761.159680,741.869451,767.172841,739.486992,3.137501,0.909154,0.539646,0.983790,1.570976,4.503156,84.022431,84.022431,84.022431,84.022431,63.016823,84.022431
Madhya Pradesh,Alirajpur,2023,0.331000,855.000000,67.671434,341.218215,76.051284,411.156289,0.000000,55.310713,36.420065,31.274989,30.928430,31.820046,34.577021,31.554075,25.407806,23.983985,23.707363,23.593786,20.860854,17.695608,3.610982,3.572568,3.421995,2.848518,2.004394,1.891315,49.567210,71.198723,69.350060,68.908873,49.279738,50.556896,491.446527,396.608288,432.395010,455.681458,609.377026,470.653491,2.894663,1.367833,0.561647,1.033114,1.610992,3.415669,206.517257,110.663727,43.019748,78.259750,93.623373,165.567501
Madhya Pradesh,Alirajpur,2024,0.308000,994.000000,122.757996,249.120202,437.684540,340.385891,59.573051,0.000000,37.012429,30.952241,30.251293,31.021725,33.426244,31.388927,25.928063,24.236295,23.549952,23.174826,22.296542,16.352337,3.439859,3.590704,3.063531,2.910926,1.834885,1.487739,50.557289,71.649169,74.642823,70.018780,57.294331,44.995591,592.082344,373.743146,392.093365,443.853801,546.322644,512.620050,3.517268,1.484074,0.628545,0.945360,1.848962,3.662002,167.282753,99.689051,38.746333,74.969831,123.509923,178.166447
Madhya Pradesh,Alirajpur,2025,0.340000,925.000000,261.882050,209.627140,224.733514,229.344931,107.795585,5.144684,34.136354,30.343479,30.731075,30.566043,31.622207,29.572761,24.854890,23.573854,23.436426,22.719192,20.971141,15.241704,3.443058,3.889247,2.955168,1.419997,1.149535,0.563173,57.841931,70.472911,69.972449,67.643415,62.673347,51.765764,508.232207,383.677679,445.853209,456.117810,506.228574,508.020362,2.430052,0.958630,0.708804,1.058114,1.761410,3.289682,159.484885,119.706792,48.786286,122.034630,25.377899,189.075693
Madhya Pradesh,Ashoknagar,2021,2.150000,746.000000,115.615353,266.229802,496.344727,226.941050,48.044790,0.699028,37.851674,32.618277,30.986979,31.793055,32.463950,29.250224,25.374070,25.722695,23.943012,23.938958,20.139871,13.475002,1.727735,1.706570,1.859708,1.337930,0.959648,0.879785,52.128536,65.850599,74.507148,73.965888,53.981462,43.568286,614.355896,473.921386,437.130678,462.850830,579.156738,446.507300,1.980143,0.740933,0.421422,0.629493,1.060138,2.222302,159.518735,73.460440,26.122064,51.865615,61.429079,128.463527
Madhya Pradesh,Ashoknagar,2022,1.927000,990.000000,140.629617,350.486850,423.321129,257.027245,84.037170,0.000000,39.375851,32.538408,30.747182,31.508556,31.713237,29.654087,26.926426,24.132681,23.521626,23.492227,19.231667,13.265950,1.324603,1.904701,1.275724,1.099110,0.910726,0.662694,42.893922,71.509340,75.350561,72.579852,55.667355,44.342171,727.427799,750.382161,750.040105,726.719292,754.017618,729.428297,3.814146,1.653842,0.339689,0.593465,0.665598,2.926478,121.005010,121.005010,121.005010,121.005010,90.753758,121.005010
Madhya Pradesh,Ashoknagar,2023,1.869000,940.000000,151.670451,224.726866,189.817164,174.214760,0.616546,5.745223,37.427644,32.997903,31.446970,32.481797,34.017791,29.626055,25.930288,24.990730,23.862609,23.485623,19.214514,15.209179,2.980240,2.762653,2.877275,2.407696,1.713260,1.360337,49.645613,70.989926,69.537596,66.089572,45.156187,50.347758,430.021907,472.667275,464.771001,476.644572,579.022345,433.985641,4.034168,1.652192,0.351016,0.602377,0.699556,2.922955,184.682824,97.669248,16.706210,43.947630,46.896616,128.529905
Madhya Pradesh,Ashoknagar,2024,1.589000,983.000000,153.899478,367.860488,463.780552,249.402486,0.064582,0.000000,39.552961,32.831573,30.628292,31.700649,33.789422,30.236945,27.410946,25.244316,23.937289,23.578181,21.238112,14.509156,3.172885,2.989767,2.559790,2.568205,1.624059,1.209109,46.952380,72.122292,76.981739,70.633576,52.881040,45.086224,570.115561,440.467128,390.110757,440.284552,540.048418,475.925313,3.742375,2.273845,0.298677,0.433465,0.930120,3.277627,148.769294,102.114562,12.526547,37.765931,68.780075,147.326543
Madhya Pradesh,Ashoknagar,2025,0.270000,700.000000,278.803731,760.134534,258.376593,132.161838,68.380957,1.887462,36.127827,30.183731,31.263858,32.052633,30.585014,28.101027,25.257572,23.574548,23.822759,23.273322,19.890812,12.506984,3.101920,3.012416,2.563047,1.059923,0.967087,0.481160,52.093882,74.893496,71.947426,63.794912,63.479344,50.235235,519.748905,378.313196,450.230889,475.833480,490.504068,483.641583,2.713964,0.589560,0.367344,0.545082,1.014482,2.432128,163.844527,116.089824,24.630249,59.425634,40.284424,172.591281
Madhya Pradesh,Barwani,2021,0.270000,806.000000,106.140904,154.667955,135.536096,305.531682,77.059223,10.032631,35.715938,30.623320,30.249376,30.770109,32.564104,30.643262,24.481616,24.162106,22.907531,23.060281,20.658359,17.090245,2.477812,2.634594,2.052800,1.713528,1.182286,1.446912,57.752677,68.535039,72.022298,75.033004,56.256379,46.171034,572.753623,462.433688,427.778011,419.399174,571.646522,461.061310,2.389226,0.440067,0.388552,1.034680,2.581818,2.435017,166.753199,79.243098,33.803704,87.498316,107.068013,155.673401
Madhya Pradesh,Barwani,2022,0.276000,989.000000,80.357255,336.135325,215.495989,216.321856,93.622625,0.000000,36.977213,29.657168,30.386370,31.559009,32.194681,30.946661,25.281249,22.940455,23.048919,23.121885,20.012612,15.152640,1.854163,2.341525,1.392133,1.095876,0.891916,0.692565,47.068113,74.735186,73.012013,69.008139,53.041313,41.394033,723.039089,750.808045,742.729753,723.115089,751.726223,714.427159,2.401684,0.697643,0.375421,0.787205,1.072391,2.529966,110.278788,110.278788,110.278788,110.278788,82.709091,110.278788
Madhya Pradesh,Barwani,2023,0.270000,841.000000,65.262867,282.140017,74.618358,377.421686,1.029337,64.681288,36.722817,30.756198,30.431419,31.263012,34.199527,31.178163,25.123362,23.456782,22.879554,22.748400,19.907239,17.153599,3.662713,3.638435,3.452391,2.969899,2.074493,1.961361,48.396304,71.728928,68.305924,68.291279,48.027678,50.664630,491.281850,377.324935,430.458422,440.530554,608.569647,470.976884,2.193266,0.761953,0.205387,0.696296,1.159596,2.167003,201.713131,89.869024,24.498316,64.111785,79.228283,139.948822
Madhya Pradesh,Barwani,2024,0.270000,1015.000000,127.975968,276.607643,254.792564,203.226452,76.347184,0.000000,36.719478,30.429712,30.064290,30.929800,33.108953,31.118880,25.506934,23.907335,23.227884,22.871106,21.836328,15.872243,3.471058,3.595289,3.027850,2.967355,1.797731,1.481903,50.613298,73.348320,74.403536,69.615854,56.482368,43.951745,584.608231,343.445196,388.979981,438.885995,545.575783,513.869134,2.055892,1.336027,0.367003,0.808418,1.449495,2.700000,173.446465,81.490909,24.008081,70.993266,124.249158,159.032997
Madhya Pradesh,Barwani,2025,0.226000,650.000000,170.763789,138.118448,273.688290,226.804650,86.662652,8.735083,33.960175,30.021108,30.475600,30.275749,31.367061,29.377481,24.401411,23.166109,23.009877,22.201583,20.555174,14.552509,3.565530,3.899573,2.954885,1.473889,1.170405,0.993917,56.297831,70.497501,69.190842,66.569208,63.500646,53.332464,517.505032,388.034372,438.286937,441.922576,505.115654,509.395983,1.907407,1.096296,0.375758,0.799327,1.078114,2.227609,159.870034,114.503704,26.199327,106.275084,29.315488,163.071044
Madhya Pradesh,Betul,2021,2.180000,905.000000,229.920920,342.647904,179.061669,277.968636,95.341393,10.025974,35.986454,30.505415,30.101735,30.590952,31.763736,29.568165,23.509816,23.734147,22.731998,22.859842,20.053353,15.968667,1.852507,1.886314,1.669826,1.480267,1.154870,1.123287,59.310413,69.284736,73.201985,74.256948,57.225612,48.860326,532.094358,458.550387,433.797633,437.022106,575.121350,464.266520,3.805144,1.776375,1.002533,1.045127,2.123219,3.663457,180.930716,115.611366,54.285793,92.444466,116.203552,168.117266
Madhya Pradesh,Betul,2022,2.069000,955.000000,149.132611,625.355938,486.449343,271.439440,88.066522,0.000000,37.194848,29.378417,29.610282,30.405154,30.402226,28.891640,24.977862,22.735574,22.722842,22.494109,18.950837,13.140785,1.348046,2.091053,1.337114,0.915046,0.722430,0.621925,46.222273,77.323735,76.259653,72.799583,58.843023,45.746384,666.193442,706.374314,705.287246,676.886564,689.454234,668.407005,3.522022,1.285390,0.621497,0.983462,1.673627,3.866306,105.400034,105.400034,105.400034,105.400034,79.050026,105.400034
Madhya Pradesh,Betul,2023,1.969000,850.000000,108.953638,434.102176,165.229083,336.937141,4.187639,45.436700,37.665777,31.175425,30.288473,30.984814,33.360387,30.302927,25.359311,23.700219,22.826163,22.748964,19.142316,16.122756,3.334151,3.117642,3.231271,2.630838,1.883398,1.586657,46.317101,73.212919,70.065361,70.188433,46.776948,50.739750,474.099711,390.063320,431.897100,426.487429,608.787198,465.653034,2.857784,1.444225,0.618491,0.939062,1.734825,3.611896,217.584913,125.194301,37.876803,69.155529,97.259117,175.481635
Madhya Pradesh,Betul,2024,2.107000,905.000000,129.717599,371.225544,375.933957,169.186235,70.941764,0.000000,37.248616,30.187026,29.995780,30.963419,32.533394,29.993542,25.595854,23.636287,23.192222,22.996419,21.544490,15.112504,3.359236,3.348105,2.839430,2.818403,1.867194,1.387945,51.495103,74.782728,75.814319,70.642686,59.377812,47.585935,565.098148,339.493211,382.978799,433.211860,544.474922,510.951546,3.605387,1.136864,0.690109,0.903449,1.943969,3.491433,167.559480,119.909782,40.149736,69.004713,133.680759,182.758940
Madhya Pradesh,Betul,2025,1.300000,610.000000,154.445294,383.546610,251.428331,219.475896,61.973051,2.383578,34.599712,29.355395,30.524299,30.353968,30.883518,28.806688,24.496804,22.950071,23.147269,22.570748,20.997419,14.101390,3.345703,3.424629,2.783008,1.123680,0.989155,0.650056,55.611121,74.442497,71.533505,69.388494,67.695903,52.264470,493.599022,363.055340,434.981391,435.896032,495.447734,508.044819,3.329966,1.113487,0.657736,0.966806,2.024500,3.221994,179.149058,139.948466,44.511831,107.824351,80.367071,181.884638
Madhya Pradesh,Bhopal,2021,1.200000,765.000000,240.544636,261.680561,327.704270,209.915105,69.576344,0.000000,36.839404,31.354891,30.245258,31.320371,32.373649,29.455268,24.146767,24.735365,23.216371,23.552244,20.060619,14.294018,2.244537,2.115150,2.228403,1.581346,1.138515,1.135664,56.244306,68.022572,74.957120,73.490926,53.960328,44.034453,584.950011,472.215724,417.180768,453.324991,578.898222,458.458806,2.694278,1.184176,0.675155,0.765161,1.151436,2.191124,169.769976,100.175026,39.723263,67.626506,70.645024,133.949974
Madhya Pradesh,Bhopal,2022,0.890000,1056.000000,116.957078,631.744134,719.274633,244.526582,107.691466,0.000000,38.774289,30.718239,29.859360,31.247867,31.627255,29.867331,26.400119,23.539494,23.066736,22.942275,18.823198,13.440480,1.520792,2.040000,1.502347,1.116477,0.926153,0.740842,42.614567,75.456734,76.049080,70.950596,54.349035,43.880563,722.254920,727.160294,738.931607,717.712760,742.829821,722.314284,2.282893,1.051625,0.362655,0.655249,0.828556,2.821179,146.106071,146.106071,146.106071,146.106071,109.579553,146.106071
Madhya Pradesh,Bhopal,2023,1.069000,1025.000000,160.108035,362.622575,159.664212,230.997864,0.371356,12.039177,37.212818,32.221757,30.874023,31.976099,33.921392,29.943292,25.650289,24.424197,23.356505,23.222401,19.206053,15.507810,3.137564,2.891875,3.034777,2.527584,1.782301,1.413135,49.090094,72.145022,69.496223,66.948863,45.019822,50.150254,448.999006,446.433197,446.170686,465.280691,594.478830,449.049439,3.762277,1.518238,0.375535,0.817946,0.899218,3.134704,206.270146,120.461178,23.711395,51.296878,60.259560,137.924311
Madhya Pradesh,Bhopal,2024,1.016000,994.000000,188.544750,485.114155,386.233964,255.651414,16.299334,0.000000,38.078140,31.156350,30.137360,31.343171,33.417540,30.235522,26.172383,24.326276,23.513976,23.215292,21.470035,14.736905,3.285600,3.043140,2.678324,2.669269,1.743949,1.244967,50.172685,75.683718,77.253985,70.627744,55.249740,45.603847,567.322074,372.993026,387.628738,438.219086,548.032222,491.429891,3.488396,1.781555,0.403205,0.546847,1.020929,2.631711,169.116793,118.068600,21.517724,48.037110,78.599024,148.387512
Madhya Pradesh,Bhopal,2025,1.100000,965.000000,175.548632,650.747311,215.114833,224.951726,51.676136,0.061557,35.236310,29.566487,30.777901,31.326830,31.036844,28.385280,24.821796,23.260604,23.481937,23.006933,20.362022,13.017079,3.365426,3.317265,2.676707,1.108643,1.021472,0.534141,54.046196,76.392438,72.465056,66.518293,63.734841,49.862202,513.608691,359.014950,433.339646,446.747576,497.644003,492.779414,3.792358,0.980883,0.386330,0.844161,0.975346,2.536072,180.148987,133.653739,31.833949,79.157976,45.894919,170.328406
